Accession_ID,plant_height,stalk_number,stem_diameter,green_leaf_area_at_maturity,root_lodging_rate,stalk_lodging_rate,moisture,dry_biomass_yield
PI_267413,32.22,1.2197,-2.162,0.3954,-10.1517,0.5536,-0.04973,2.1007
PI_267432,-10.9938,15.3212,-3.5653,0.1072,-19.1277,0.1233,0.002473,-1.3396
PI_267439,19.7796,1.2197,1.1331,-0.3251,11.7898,-0.3069,0.00983,0.3023
PI_267611,-33.2554,-5.0944,1.1599,-0.3251,38.7179,-0.3069,0.0224,-5.2763
PI_267612,-17.5413,-14.3551,1.9689,-0.4692,45.6993,-0.3069,0.03257,-5.5145
PI_267622,-47.66,-24.2472,2.0379,-0.3251,10.7924,-0.3069,0.03648,-4.0738
PI_267639,4.0655,-0.04311,1.3854,-0.03691,-10.1517,-0.3069,0.02069,2.118
PI_271236,10.6131,16.3736,-2.2081,0.1072,-15.1384,0.1233,-0.00915,2.204
PI_273961,-71.8859,-5.7258,2.869,-0.181,-12.1464,-0.3069,0.03099,-2.9527
PI_274031,-38.4934,-8.4619,-0.05067,0.2513,42.7073,-0.3069,0.03122,-6.3256
PI_276773,-31.9459,-10.7771,2.0579,-0.181,10.7924,-0.3069,0.02739,-3.7207
PI_276853,-113.34,-6.9886,1.8298,-0.3251,7.8004,-0.3069,0.04183,-7.0196
PI_276856,-64.0288,-11.8295,1.8043,-0.3251,30.7392,-0.3069,0.03714,-3.9406
PI_329255,49.2435,-7.4096,0.1635,0.1072,-11.149,0.5536,-0.02551,2.332
PI_329278,-55.517,-0.885,1.0876,0.1072,21.7631,-0.3069,-0.01114,-3.0876
PI_329291,-14.2676,2.693,-1.6474,-0.03691,8.7977,-0.3069,-0.00609,-2.2357
PI_329348,37.458,-4.8839,-0.3739,-0.03691,5.8057,0.5536,-0.0277,4.9377
PI_329351,36.8032,4.1663,-0.2407,-0.3251,-0.1783,0.1233,-0.00016,0.3565
PI_329417,-19.5056,-5.7258,-0.1792,-0.4692,35.7259,0.1233,0.02073,-4.3772
PI_329431,4.7203,-10.7771,0.7617,0.2513,10.7924,-0.3069,-0.00809,0.9655
PI_329477,-77.7787,-10.7771,1.1612,-0.3251,-1.1756,-0.3069,0.02597,-4.4192
PI_329482,-13.6128,-12.0399,2.0285,-0.03691,23.7578,-0.3069,0.01813,-3.6162
PI_329486,-52.898,-2.5688,0.5884,-0.03691,6.8031,-0.3069,0.02443,-3.0339
PI_329488,-22.7793,-5.0944,0.0912,-0.4692,16.7765,0.1233,0.02623,-2.3865
PI_329497,-26.0531,-9.0933,1.8933,-0.181,39.7152,0.1233,0.02103,-4.1776
PI_329513,-47.0052,2.2721,2.0051,-0.3251,16.7765,-0.3069,0.02682,-1.0433
PI_329521,6.0298,-13.3027,1.1311,-0.03691,35.7259,2.2745,0.01447,-5.3212
PI_329530,-43.7315,-12.4609,1.4102,-0.181,46.6966,0.9838,0.03191,-3.5969
PI_329549,-18.1961,-24.6682,2.0553,-0.3251,39.7152,2.2745,0.03023,-5.2807
PI_329552,-10.9938,-12.4609,-0.2628,-0.4692,25.7525,0.1233,0.01309,-3.7798
PI_329570,-34.5649,-11.4085,0.4827,-0.4692,9.7951,0.5536,0.02949,-2.7333
PI_329574,-37.1839,-10.5666,1.287,-0.181,42.7073,2.7048,0.02267,-4.9623
PI_329584,-63.3741,-20.4587,2.8717,-0.4692,50.686,0.1233,0.03304,-6.0928
PI_329587,-10.9938,-6.9886,1.4644,-0.03691,17.7738,0.1233,0.005945,-2.0042
PI_329617,10.6131,-11.4085,-0.5499,-0.181,2.8137,0.9838,0.0213,-1.5802
PI_329626,-52.2433,-8.2515,3.6546,0.2513,-17.1331,-0.3069,0.03203,-1.6583
PI_329646,13.2321,-15.197,-0.8035,-0.181,18.7711,1.4141,0.005405,-2.8034
PI_329648,8.6488,-13.9342,-0.5626,-0.3251,-7.1597,1.6722,0.004896,-2.7238
PI_329656,-0.5177,-20.8797,2.0774,-0.03691,-3.1703,0.5536,-0.00087,-1.3327
PI_329658,-37.1839,-11.619,1.2281,-0.03691,25.7525,-0.3069,0.004114,-2.4378
PI_329661,-34.5649,-14.5656,0.2143,-0.181,48.6913,-0.3069,0.02296,-7.2221
PI_329671,5.4055,3.2864,1.1346,-0.02416,7.1809,3.4986,-0.00377,0.4327
PI_329679,-40.4577,-13.0923,1.2656,-0.181,53.678,-0.3069,0.01721,-6.5571
PI_329689,-23.4341,-26.3519,0.4117,-0.4692,50.287,0.1233,0.01297,-5.4023
PI_329698,-25.3984,-4.042,1.9964,0.1072,12.7871,1.6722,0.02382,-2.5611
PI_329836,-33.9102,3.7454,1.2797,-0.03691,7.8004,-0.3069,0.01245,0.3157
PI_329856,-8.3748,-7.62,2.345,0.3954,-12.1464,-0.3069,-0.004,-2.0458
PI_329860,-34.5649,9.6385,-0.2314,0.1072,-2.173,-0.3069,0.009269,-1.9915
PI_329874,-79.7429,-11.8295,2.1409,-0.6134,45.6993,-0.3069,-0.0205,-6.4098
PI_329876,-60.7551,-9.7247,1.0227,-0.3251,6.8031,-0.3069,0.03267,-4.5342
PI_329890,-24.0889,-10.3562,3.6198,-0.3251,24.7552,-0.3069,0.0309,-3.0344
PI_329934,-27.3626,-2.7792,1.5159,0.1072,-0.1783,0.5536,0.04719,-2.8458
PI_329958,-81.0524,-3.2002,1.4162,-0.3251,11.7898,-0.3069,0.006269,-1.5248
PI_329964,-83.6714,-0.464,1.1847,-0.4692,16.7765,-0.3069,0.01097,-4.3259
PI_329974,64.9576,-14.1446,2.8489,-0.181,-0.1783,0.1233,-0.01621,-1.4446
PI_330009,-73.1954,-4.2525,1.7153,-0.4692,24.7552,-0.3069,0.03158,-4.684
PI_330019,-71.2311,0.7988,1.4008,-0.4692,10.7924,-0.3069,0.02911,-3.9287
PI_330068,49.4902,-5.0503,-0.1301,0.1649,-6.8828,0.2557,-0.02103,2.6997
PI_330070,-16.8866,-4.2525,0.5001,-0.03691,33.7312,0.1233,0.009369,-3.0337
PI_330086,-17.5413,-22.9844,1.8492,-0.03691,11.7898,0.5536,0.03171,-3.6612
PI_330104,-60.7551,-6.3572,4.8364,-0.3251,38.7179,-0.3069,0.0426,-5.9346
PI_330118,-54.8623,-9.0933,0.4291,-0.6134,36.7232,-0.3069,0.01132,-6.0979
PI_330160,6.0298,7.5338,-1.1649,0.1072,-7.1597,-0.3069,-0.01678,3.8955
PI_330195,34.839,-0.464,-0.766,-0.3251,-10.1517,-0.3069,-0.04979,3.4696
PI_452538,25.6724,-20.2483,1.3506,-0.03691,25.7525,0.5536,0.02486,-3.9941
PI_452551,73.4694,-15.8284,0.9337,0.2513,-1.1756,1.4141,0.002052,0.2835
PI_452592,36.1485,-8.6724,1.2061,0.3954,7.4015,0.5536,0.004139,0.3779
PI_452629,-40.4577,-16.8807,2.068,-0.3251,52.6806,-0.3069,0.03547,-7.8019
PI_452672,15.1964,-23.4053,0.745,-0.3251,37.7206,0.5536,0.01335,-4.7354
PI_452814,15.8511,-13.3027,3.3595,0.2513,-4.1677,-0.3069,0.01519,0.7167
PI_452928,-70.5764,-8.8829,0.8822,-0.181,49.6886,-0.3069,0.02529,-4.1536
PI_453182,-16.2318,-6.5677,0.4746,-0.03691,3.8111,-0.3069,0.01395,-0.8832
PI_453197,46.6245,-8.2515,0.7959,0.1072,-6.1623,-0.3069,-0.00257,-0.4323
PI_453299,26.3272,1.6407,-0.8069,0.1072,-13.1437,-0.3069,-0.03083,4.5015
PI_453429,36.8032,-16.2493,1.6022,-0.03691,-11.149,0.1233,0.002905,0.5039
PI_453491,62.9934,-5.7258,0.8012,0.1072,-13.1437,-0.3069,-0.02189,2.9112
PI_453529,7.9941,-14.776,0.7617,0.1072,16.7765,-0.3069,0.007524,-2.4883
PI_453628,47.934,-8.4619,-0.1357,0.1072,-10.1517,0.1233,-0.02351,3.812
PI_453766,-6.4105,-9.0933,1.0287,-0.03691,6.8031,0.1233,0.02453,-3.0542
PI_453855,-5.7558,-22.9844,1.4229,-0.181,19.7685,3.9955,0.0217,-5.3163
PI_453903,23.0534,-2.3583,1.0501,0.1072,-10.1517,-0.3069,0.01312,1.5497
PI_453953,-85.6357,3.114,0.0564,-0.3251,18.7711,-0.3069,0.02579,-3.919
PI_454067,-46.3505,-5.3049,0.5616,-0.181,27.7472,-0.3069,0.005983,-5.0788
PI_454145,16.5059,-7.4096,1.8157,0.1072,-5.165,0.5536,-0.01306,-1.9921
PI_454210,38.7675,-8.6724,1.0294,0.2513,-12.1464,-0.3069,-0.00679,4.6261
PI_454298,44.0055,-6.9886,1.554,0.1072,1.8164,-0.3069,-0.03376,3.2726
PI_454315,28.9462,-18.775,2.1516,0.3954,-20.1251,0.1233,0.01376,1.9307
PI_454435,33.5295,-10.3562,3.144,0.1072,-4.1677,0.9838,-0.01052,1.897
PI_454848,26.3272,-3.8316,1.3359,-0.181,5.8057,0.5536,0.01299,-1.6382
PI_455241,8.6488,-7.62,1.5079,-0.03691,9.7951,-0.3069,-0.00037,-0.9617
PI_455447,81.3265,-21.3006,3.14,0.2513,-20.1251,0.1233,-0.04029,4.6161
PI_455451,40.7317,-14.1446,1.712,-0.03691,-13.1437,0.1233,-0.02131,2.901
PI_455503,-0.5177,-9.3038,1.3867,0.2513,-8.157,-0.3069,0.01379,2.2026
PI_455668,13.2321,-3.8316,1.3232,0.2513,10.7924,0.1233,0.01463,-0.9428
PI_456112,67.5766,-5.9363,-1.5664,-0.3251,-17.1331,0.1233,-0.05765,5.2494
PI_456121,38.1127,-7.4096,0.3288,0.3954,-15.1384,-0.3069,-0.00829,1.285
PI_456353,60.3744,1.4302,0.2016,0.3954,-14.141,-0.3069,-0.03629,4.8132
PI_456401,63.6481,-16.6703,2.0713,0.1072,-13.1437,0.1233,-0.02951,2.2622
PI_456421,65.6124,-7.8305,0.9973,-0.03691,-15.7368,0.5536,-0.0269,2.6109
PI_456431,57.1006,1.2197,0.05974,0.1072,-11.149,-0.3069,-0.03104,4.43
PI_456489,41.3865,-7.62,0.4298,-0.181,6.8031,0.1233,-0.01577,0.4082
PI_456528,80.017,-6.9886,0.7831,0.1072,-4.1677,-0.3069,-0.02112,-0.908
PI_456551,58.4101,-6.7782,1.983,-0.03691,-10.1517,-0.3069,-0.01647,1.1034
PI_456709,17.8154,-7.8305,1.4711,-0.03691,6.8031,-0.3069,0.01935,-1.7851
PI_456809,51.8626,-7.8305,-0.0045,0.2513,-6.1623,0.9838,-0.02959,3.1061
PI_456885,34.839,-1.5164,0.7825,-0.181,13.7844,-0.3069,-0.01076,2.3783
PI_456899,32.8747,-2.3583,-0.9514,-0.181,0.819,-0.3069,-0.03731,4.6837
PI_457135,40.3194,6.1349,-0.8227,-0.1714,-1.3635,0.2557,-0.02476,5.1825
PI_457145,17.1606,-5.7258,-0.8316,0.1072,0.819,-0.3069,-0.02255,4.8188
